"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"638","N83624","WA11 0DN",2966
"639","N83628","WA12 8RB",4533
"640","N83635","L35 4LL",2614
"641","N83637","WA10 2DJ",3409
"642","Y00475","WN4 0XD",5121
"643","Y02510","WA9 3DA",5634
"644","C81077","SK13 7DE",3421
"645","C81081","SK13 8PS",17175
"646","C81106","SK13 1DJ",6492
"647","C81615","SK13 6EQ",2220
"648","C81640","SK13 6NN",3782
"649","P89002","SK14 1AT",13029
"650","P89003","OL6 6HF",9457
"651","P89004","SK14 6LA",6822
"652","P89005","SK15 2PT",8222
"653","P89007","SK15 2AE",6757
"654","P89008","OL6 6EW",18362
"655","P89010","M43 7BW",8073
"656","P89011","OL6 6NE",4790
"657","P89012","SK14 2AQ",7413
"658","P89013","SK14 3EH",5559
"659","P89014","SK14 1JY",13044
"660","P89015","M34 2AJ",20028
"661","P89016","SK14 2AH",8763
"662","P89018","M34 3JE",8369
"663","P89020","OL7 0NW",8185
"664","P89021","SK16 4DB",10863
"665","P89022","SK16 4JZ",3758
"666","P89023","SK15 2AU",5255
"667","P89025","SK16 4LD",3035
"668","P89026","SK15 1RZ",6322
"669","P89029","M43 6DE",5852
"670","P89030","OL7 0LH",4179
"671","P89602","SK14 8LN",4170
"672","P89609","OL6 9QH",4969
"673","P89612","OL5 9AB",2251
"674","P89613","OL7 9EJ",3226
"675","P89618","OL5 0HE",2240
"676","Y02586","OL6 7SR",3895
"677","Y02663","M43 7NP",4239
"678","Y02713","M34 5HY",5174
"679","Y02936","SK15 3BJ",3590
"680","P91003","WA15 6QQ",6230
"681","P91004","WA14 2DD",7917
"682","P91006","M41 8AA",13302
"683","P91007","WA15 6PH",4559
"684","P91008","WA15 8NZ",6005
"685","P91009","M41 7WJ",11445
"686","P91011","WA15 8NZ",5936
"687","P91012","M41 7AB",7188
"688","P91013","M33 2RH",11324
"689","P91014","M33 7SS",16193
"690","P91016","WA14 5PF",9391
"691","P91017","M33 5JH",8720
"692","P91018","M32 0DF",13924
"693","P91019","M31 4FY",3673
"694","P91020","M16 9NW",9385
"695","P91021","M33 4BR",15323
"696","P91026","M31 4FL",5385
"697","P91029","M41 5BG",12496
"698","P91032","M33 3JP",1
"699","P91035","M33 2TB",12545
"700","P91603","WA14 1PF",6828
"701","P91604","WA14 1PF",17592
"702","P91617","WA14 1LL",2613
"703","P91619","M16 0LW",33
"704","P91623","WA15 6PH",5346
"705","P91625","M41 9JS",37
"706","P91627","M32 9PA",8249
"707","P91629","M32 0PA",14978
"708","P91631","WA15 6BP",3147
"709","P91633","WA15 6PH",5467
"710","N81007","WA1 4NE",10170
"711","N81012","WA5 1UD",10570
"712","N81014","WA13 9DB",9196
"713","N81020","WA5 2EY",13189
"714","N81028","WA4 6QA",9013
"715","N81036","WA1 1UG",7591
"716","N81041","WA1 3AW",8465
"717","N81048","WA2 0HD",13824
"718","N81056","WA5 0LU",10357
"719","N81059","WA3 4DZ",12435
"720","N81065","WA4 1LJ",7416
"721","N81075","WA4 6HJ",16283
"722","N81083","WA2 8HE",5232
"723","N81089","WA1 3RB",8434
"724","N81097","WA2 7NG",2734
"725","N81107","WA1 3RB",3215
"726","N81108","WA13 0QE",10559
"727","N81109","WA2 0RX",6530
"728","N81114","WA3 7PJ",11182
"729","N81122","WA5 8UF",10703
"730","N81623","WA4 4NE",8197
"731","N81628","WA2 7NJ",11442
"732","N81637","WA1 2QQ",3020
"733","N81645","WA2 8HE",2631
"734","Y01108","WA1 3RB",3537
"735","Y04925","WA5 3AL",7025
"736","P81014","L39 2BY",9008
"737","P81039","WN8 6DS",5447
"738","P81041","L39 4QR",9011
"739","P81045","L39 2BY",5009
"740","P81084","WN8 0AB",7574
"741","P81096","WN8 7DN",7067
"742","P81112","WN8 8LA",16933
"743","P81136","WN8 8LA",2716
"744","P81138","L40 4LA",2579
"745","P81201","WN8 6QS",5586
"746","P81208","WN8 9BW",18173
"747","P81646","L40 4LA",4292
"748","P81674","L40 4LA",5767
"749","P81695","L39 6SE",6054
"750","P81710","PR4 6UJ",9757
"751","P92001","WN4 9AZ",5608
"752","P92002","WA3 2HY",5261
"753","P92003","WN6 7LB",9050
"754","P92004","WN2 3HQ",7889
"755","P92005","WN3 5HL",4153
"756","P92006","WN2 5NG",6121
"757","P92007","WN7 2PG",6900
"758","P92008","WN5 0AB",8770
"759","P92010","WN6 7PD",12451
"760","P92011","WN1 3TB",7768
"761","P92012","WA3 3GS",4410
"762","P92014","WN6 0HD",13123
"763","P92015","WN2 1XH",5576
"764","P92016","WN2 2QG",18037
"765","P92017","WN6 8ET",13008
"766","P92019","WN5 9QX",10283
"767","P92020","M29 7BS",4658
"768","P92021","WN5 9QX",6087
"769","P92023","WN7 2RB",9026
