"","CODE","POSTCODE","NUMBER_OF_PATIENTS"
"4848","F85008","N22 8HE",13074
"4849","F85010","N9 9HJ",5098
"4850","F85013","N15 4RH",9053
"4851","F85014","N6 4QA",16743
"4852","F85016","EN4 9NB",6904
"4853","F85017","N17 6SB",6674
"4854","F85019","N17 6AA",13525
"4855","F85020","N21 3LE",9119
"4856","F85023","EN3 6ND",11652
"4857","F85025","EN1 3EW",11660
"4858","F85028","N17 6QB",7567
"4859","F85029","EN1 3EB",12813
"4860","F85030","N17 8NW",13220
"4861","F85031","N22 6RX",10882
"4862","F85032","N14 4PR",10140
"4863","F85033","N21 2SA",21977
"4864","F85034","N22 5AB",5826
"4865","F85035","N21 1UJ",11225
"4866","F85039","N9 0TW",6284
"4867","F85043","N9 0TW",3781
"4868","F85044","N9 7HD",5983
"4869","F85046","N8 0PH",7716
"4870","F85052","N15 4AA",2115
"4871","F85058","N9 8AJ",6792
"4872","F85060","N15 3DY",5700
"4873","F85061","N8 8AE",3175
"4874","F85063","N10 2PS",14571
"4875","F85064","N22 5NJ",6809
"4876","F85065","N22 5NJ",3102
"4877","F85066","N11 2PF",18637
"4878","F85067","N4 3PZ",4604
"4879","F85069","N8 8HJ",8306
"4880","F85071","N15 6JR",10980
"4881","F85072","N13 4RJ",10739
"4882","F85615","N17 8AH",5575
"4883","F85623","N15 5HJ",4571
"4884","F85625","EN2 7RD",6584
"4885","F85628","N17 9DL",4864
"4886","F85634","EN3 4DE",7828
"4887","F85640","N22 8JJ",6327
"4888","F85642","N13 4JJ",8827
"4889","F85650","N18 1LA",5215
"4890","F85663","N9 9PU",4606
"4891","F85666","N18 2LY",3734
"4892","F85669","N15 3PB",19352
"4893","F85675","N22 7UN",5658
"4894","F85676","N9 7HD",5369
"4895","F85678","EN2 6TJ",4538
"4896","F85682","N9 0TW",4073
"4897","F85687","N14 4AQ",7792
"4898","F85688","N10 1DU",11226
"4899","F85697","N8 0RP",2114
"4900","F85700","N11 1BD",7362
"4901","F85701","N13 4BS",12042
"4902","F85705","N15 4JR",12567
"4903","F85711","N15 3TH",3
"4904","Y00057","N18 2FF",13266
"4905","Y00316","N2 8BG",4568
"4906","Y00612","N18 1RP",5718
"4907","Y01066","N4 3DU",11238
"4908","Y01655","N8 8SU",10683
"4909","Y02117","N15 5AZ",15999
"4910","Y02674","NW1 2LS",562
"4911","Y02986","NW2 1DZ",4047
"4912","Y03035","N8 8JD",22176
"4913","Y03103","NW1 2LS",199
"4914","Y03135","N4 1TL",9791
"4915","Y03402","N9 0TW",19892
"4916","Y03663","NW9 7DG",8783
"4917","Y03664","NW4 3EB",8810
"4918","Y05330","N17 9FD",3787
"4919","G81002","BN21 4TX",6017
"4920","G81003","BN21 4HY",16988
"4921","G81004","BN26 6AE",10945
"4922","G81007","BN8 4LR",9696
"4923","G81008","BN24 5DZ",14199
"4924","G81012","BN27 3DG",6378
"4925","G81016","BN9 9PW",10176
"4926","G81017","BN22 8DR",11623
"4927","G81019","TN6 1AH",11069
"4928","G81021","BN7 2LU",28330
"4929","G81022","BN22 7PG",14392
"4930","G81023","TN33 0EA",8305
"4931","G81024","RH18 5AQ",9815
"4932","G81029","BN25 1DH",18116
"4933","G81030","TN5 6BJ",8895
"4934","G81031","TN35 5NH",11927
"4935","G81032","BN21 1RR",27094
"4936","G81037","TN22 1BA",8756
"4937","G81039","TN39 4SP",17306
"4938","G81040","TN20 6BW",3547
"4939","G81041","TN39 5HE",14401
"4940","G81043","TN6 2ED",7294
"4941","G81048","TN38 8BL",8585
"4942","G81049","BN26 5DJ",6881
"4943","G81050","BN21 1DH",11593
"4944","G81051","TN31 7SQ",7176
"4945","G81052","TN19 7EU",4193
"4946","G81055","TN6 1DL",9327
"4947","G81057","TN33 0PW",6301
"4948","G81059","BN27 1BH",11368
"4949","G81061","BN9 9PW",6262
"4950","G81074","TN37 7AT",18044
"4951","G81077","TN39 3LR",17137
"4952","G81082","TN32 5DG",5998
"4953","G81084","TN34 3TW",10563
"4954","G81085","TN31 7DN",3942
"4955","G81086","TN22 5AW",7610
"4956","G81087","TN31 6ND",6703
"4957","G81088","TN21 8JD",12481
"4958","G81089","TN38 9TE",3502
"4959","G81095","TN34 3DW",23974
"4960","G81096","TN38 0TA",2999
"4961","G81098","BN27 1UG",11314
"4962","G81099","BN25 1HH",9698
"4963","G81100","BN10 8NF",18996
"4964","G81102","TN22 5FD",15228
"4965","G81104","BN22 9PQ",11852
"4966","G81614","TN3 9QP",5355
"4967","G81634","BN27 4JX",5153
"4968","G81641","TN34 3JJ",3037
"4969","G81658","TN34 1BA",18074
"4970","G81703","TN34 1BA",11
"4971","Y00080","BN23 6DW",7422
"4972","Y00372","BN22 8DR",16
"4973","N82001","L24 6TH",5878
"4974","N82002","L14 4ED",4660
"4975","N82003","L14 0NL",3926
"4976","N82004","L19 2LW",3171
"4977","N82009","L19 9BP",8576
"4978","N82011","L6 4EW",10795
"4979","N82014","L15 6TS",6531
"4980","N82018","L11 2YA",13190
"4981","N82019","L11 1AD",4794
"4982","N82022","L7 2AB",9019
"4983","N82024","L12 8TQ",13110
"4984","N82026","L15 9EH",5980
"4985","N82033","L8 6QP",5686
"4986","N82034","L19 2LW",6044
"4987","N82035","L19 4UG",9219
"4988","N82036","L27 7AF",3710
"4989","N82037","L9 7AL",11880
"4990","N82039","L18 7JY",3815
"4991","N82041","L15 6UT",11747
"4992","N82046","L15 2LQ",8984
"4993","N82048","L9 1AD",6665
"4994","N82049","L4 3TT",6424
"4995","N82050","L25 2PA",2394
"4996","N82052","L6 0BB",5685
"4997","N82053","L9 8AL",16607
"4998","N82054","L7 7HG",6922
"4999","N82058","L13 2GA",5068
"5000","N82059","L17 1AW",5757
"5001","N82062","L17 5AR",7175
"5002","N82065","L7 6HD",4104
"5003","N82066","L25 5JA",9034
"5004","N82067","L6 3BY",4459
"5005","N82070","L8 3SS",9514
"5006","N82073","L17 0BY",6608
"5007","N82074","L13 2GA",9437
"5008","N82076","L8 0SY",8840
"5009","N82077","L4 4PP",2643
"5010","N82078","L4 4PP",3393
"5011","N82079","L18 1HG",6323
"5012","N82081","L6 2EH",4930
"5013","N82082","L1 5DZ",6500
"5014","N82083","L11 4UG",9461
"5015","N82084","L25 3PA",6752
"5016","N82086","L4 8SJ",3544
"5017","N82087","L11 0AG",2354
"5018","N82089","L7 6HD",3751
"5019","N82090","L13 7DY",9410
"5020","N82091","L8 6QP",2260
"5021","N82092","L25 1RY",8415
"5022","N82093","L13 3DN",3435
"5023","N82094","L25 2XE",8130
"5024","N82095","L6 2EH",4670
"5025","N82097","L9 1AD",8471
"5026","N82099","L5 0QW",8074
"5027","N82101","L4 4QJ",2608
"5028","N82103","L6 0BB",8122
"5029","N82104","L13 6QD",4287
"5030","N82106","L25 6HE",3679
"5031","N82107","L18 2DU",1570
"5032","N82108","L18 0HJ",7680
"5033","N82109","L24 2SF",4642
"5034","N82110","L9 6DQ",8007
"5035","N82113","L6 3BY",7768
"5036","N82115","L5 8XR",8308
"5037","N82116","L25 0ND",6962
"5038","N82117","L69 3GD",50456
"5039","N82617","L3 2BG",8248
"5040","N82633","L14 7PH",2900
"5041","N82641","L17 4JP",6505
"5042","N82645","L7 2PF",7249
"5043","N82646","L7 6HD",9381
"5044","N82648","L9 0HJ",1786
"5045","N82650","L24 2SF",4167
"5046","N82651","L5 2QA",4357
"5047","N82655","L11 0BL",2453
"5048","N82662","L7 6HD",7203
"5049","N82663","L12 5LT",3989
"5050","N82664","L16 1JD",3066
"5051","N82668","L4 6TW",2887
"5052","N82669","L5 0QW",3258
"5053","N82670","L6 7UN",2970
"5054","N82671","L6 6DW",2276
"5055","N82676","L12 0JE",4337
"5056","N82678","L9 6AP",3148
"5057","Y00110","L24 3TY",2235
"5058","A86005","NE12 8LS",6004
"5059","A86016","NE7 7XX",9579
"5060","A86041","NE7 7TD",6453
"5061","A87002","NE29 0HQ",5620
"5062","A87003","NE28 6RZ",10382
"5063","A87004","NE29 0SF",24464
"5064","A87005","NE26 2ND",12562
"5065","A87006","NE26 1NA",5859
"5066","A87007","NE12 9BQ",18746
"5067","A87008","NE26 3LW",7996
"5068","A87009","NE29 0HT",15625
"5069","A87011","NE25 9XJ",6898
"5070","A87012","NE13 6LN",7638
"5071","A87013","NE28 0AD",9416
"5072","A87016","NE28 6BB",11563
"5073","A87017","NE13 6JJ",5706
"5074","A87019","NE29 0DZ",5166
"5075","A87020","NE25 9PH",8898
"5076","A87022","NE27 0HJ",9158
"5077","A87023","NE27 0HJ",4947
"5078","A87029","NE28 7LP",9713
"5079","A87030","NE29 6HT",5720
"5080","A87600","NE26 1DU",4846
"5081","A87612","NE12 6HS",6092
"5082","A87615","NE12 6HS",4962
"5083","F81006","SS16 4HD",5836
"5084","F81013","CM12 9DX",12368
"5085","F81023","CM14 5WF",12851
"5086","F81025","SS16 5AD",9412
"5087","F81029","SS16 5SB",7636
"5088","F81031","SS13 1AJ",7583
"5089","F81036","SS12 9NR",18360
"5090","F81038","CM15 8AQ",13381
"5091","F81041","SS12 0AG",13093
"5092","F81045","CM12 0AH",3389
"5093","F81055","CM13 2NL",13060
"5094","F81060","SS14 2ER",5165
"5095","F81080","CM12 0BJ",12065
"5096","F81085","CM15 8AB",13771
"5097","F81102","CM15 8NN",6754
"5098","F81104","CM12 9LR",5135
"5099","F81108","SS15 5TR",17765
"5100","F81150","SS15 5HL",11851
"5101","F81158","SS13 3HQ",3775
"5102","F81163","CM4 0FA",6914
"5103","F81186","SS13 1PN",7077
"5104","F81215","CM15 0HU",9670
"5105","F81222","CM12 0UA",5103
"5106","F81640","SS13 1PN",4509
"5107","F81645","SS13 3DW",4169
"5108","F81651","CM11 2RE",3192
"5109","F81666","SS15 4EZ",3643
"5110","F81707","SS14 3SS",4215
"5111","F81711","SS15 5LE",2499
"5112","F81729","SS14 2PB",3648
"5113","F81732","SS12 0AG",7046
"5114","F81737","CM15 9DY",2669
"5115","Y00469","SS13 3HQ",11503
"5116","Y00758","SS13 3HQ",2402
"5117","Y03052","SS16 6SA",13777
"5118","F81001","SS7 4EA",12703
"5119","F81007","SS4 1AY",20749
"5120","F81032","SS7 3PR",3503
"5121","F81051","SS8 9SU",7510
"5122","F81061","SS5 6JH",7026
"5123","F81065","SS6 9HR",4303
"5124","F81066","SS5 5HQ",6162
"5125","F81075","SS7 2NA",12517
"5126","F81089","SS3 0HX",10489
"5127","F81096","SS8 0JA",10776
"5128","F81101","SS7 1LT",5399
"5129","F81123","SS6 7JF",20913
"5130","F81125","SS5 4PZ",13781
"5131","F81142","SS7 4EA",6684
"5132","F81205","SS8 0EX",5916
"5133","F81618","SS7 5LN",3958
"5134","F81675","SS4 1TU",4866
"5135","F81690","SS4 3BW",4448
"5136","F81700","SS8 0JH",4285
"5137","F81704","SS6 9QD",3756
"5138","F81713","SS7 1ED",2948
"5139","F81739","SS8 0JA",6900
"5140","F81740","SS8 0JA",6485
"5141","F81003","SS0 7AF",6068
"5142","F81046","SS9 5UU",4969
"5143","F81081","SS1 2AB",19660
"5144","F81086","SS2 4UB",7893
"5145","F81092","SS2 6RL",4991
"5146","F81097","SS0 8BU",17949
"5147","F81112","SS9 2SQ",13434
"5148","F81121","SS1 3HD",7371
"5149","F81128","SS9 5UU",15100
"5150","F81144","SS9 3NG",21304
"5151","F81147","SS0 7AF",5443
"5152","F81159","SS1 1NX",5926
"5153","F81164","SS0 7AF",10218
"5154","F81176","SS2 4EQ",2584
"5155","F81207","SS0 7HN",1992
"5156","F81209","SS1 3AN",2771
"5157","F81223","SS9 5UU",3198
"5158","F81613","SS3 9BX",8463
"5159","F81649","SS3 9BX",4222
"5160","F81656","SS1 2JJ",2877
"5161","F81684","SS3 8UT",6479
"5162","F81696","SS9 4JQ",2205
"5163","F81744","SS2 6XY",2677
"5164","Y02177","SS1 2TH",6132
"5165","Y02707","SS2 4BD",6477
"5166","F82001","RM9 5AS",6387
"5167","F82002","RM14 2YN",6484
"5168","F82003","RM10 9AT",5823
"5169","F82005","RM10 9RR",6306
"5170","F82006","RM14 1BJ",12291
"5171","F82007","RM3 0DR",11417
"5172","F82008","RM12 4EQ",14179
"5173","F82009","RM1 4QJ",19957
"5174","F82010","RM3 9PD",7962
"5175","F82011","RM1 3DQ",10369
"5176","F82012","RM9 5TT",3897
"5177","F82013","RM1 3LS",17342
"5178","F82014","RM3 9SU",7097
"5179","F82015","RM9 6HT",5263
"5180","F82016","RM3 9SU",7118
"5181","F82017","RM9 6EA",8590
"5182","F82018","IG11 9LT",11363
"5183","F82019","RM6 6RT",6392
"5184","F82021","RM2 5SU",9938
"5185","F82022","RM12 5NJ",12458
"5186","F82023","RM11 3XT",3410
"5187","F82025","RM9 4SR",5692
"5188","F82027","IG11 9LD",2165
"5189","F82028","RM12 5HX",9637
"5190","F82030","RM5 3QL",13637
"5191","F82031","RM7 0XR",4485
"5192","F82033","RM11 3SZ",3581
"5193","F82034","IG11 8GD",4863
"5194","F82038","RM8 3RH",5422
"5195","F82039","RM7 0XR",3791
"5196","F82040","IG11 9LL",2904
"5197","F82042","IG11 0LG",19204
"5198","F82045","RM3 0PT",3502
"5199","F82051","RM10 7DF",9690
"5200","F82053","RM14 3DH",3486
"5201","F82055","RM11 1XA",9036
"5202","F82604","RM6 5LL",5254
"5203","F82607","RM13 7XJ",5030
"5204","F82609","RM12 4LF",4541
"5205","F82610","RM7 8BU",2933
"5206","F82612","IG11 7UN",5854
"5207","F82619","RM13 7UP",3255
"5208","F82621","RM10 7YU",4341
"5209","F82624","RM12 6PL",3854
"5210","F82625","IG11 8RJ",7377
"5211","F82627","RM13 9AB",5502
"5212","F82630","RM5 3PJ",6808
"5213","F82634","RM10 9HU",5615
"5214","F82638","RM7 0PX",6809
"5215","F82642","RM8 2LD",6980
"5216","F82647","IG11 9XQ",5011
"5217","F82648","RM3 7JJ",3449
"5218","F82649","RM13 9QU",4601
"5219","F82650","IG11 9RS",9122
"5220","F82660","RM8 3XU",20962
"5221","F82661","RM8 1BX",3853
"5222","F82663","RM1 2SB",3808
"5223","F82666","RM12 5PA",4951
"5224","F82670","RM3 9SU",3134
"5225","F82671","RM3 7JJ",3217
"5226","F82674","RM14 1RG",5311
"5227","F82675","RM11 1XA",3578
"5228","F82677","RM8 3HP",7288
"5229","F82678","RM9 6EA",4842
"5230","F82679","RM10 8EJ",5067
"5231","F82680","IG11 9LX",8417
"5232","F82686","RM6 6RT",3372
"5233","F84003","E5 0PQ",15057
"5234","F84004","E6 2RA",13527
"5235","F84006","E7 8QP",15687
"5236","F84008","N16 9JT",12290
"5237","F84009","E15 4BZ",11554
"5238","F84010","E6 3BA",10791
"5239","F84012","E1 1BU",9617
"5240","F84013","N16 6UA",16296
"5241","F84014","E7 9PB",8141
"5242","F84015","E9 5QG",5473
"5243","F84016","E2 9LS",12598
"5244","F84017","E16 4QH",20528
"5245","F84018","E5 8BY",12042
"5246","F84021","E8 4QJ",10677
"5247","F84022","E15 1EN",8118
"5248","F84025","E14 0EY",11805
"5249","F84030","E3 2LR",3818
"5250","F84031","E1 0LS",14490
"5251","F84033","N16 7UA",11932
"5252","F84034","E3 5ED",13405
"5253","F84035","E8 3HN",14331
"5254","F84036","N4 2NU",7439
"5255","F84038","E8 3AH",3932
"5256","F84039","E1 2LP",28567
"5257","F84041","N1 3JS",6653
"5258","F84044","E3 2AT",7828
"5259","F84047","E16 3NA",9723
"5260","F84050","E6 3BD",12325
"5261","F84051","E2 7QU",8288
"5262","F84052","E13 0AS",14008
"5263","F84053","E13 8PS",7999
"5264","F84054","E14 8HQ",11837
"5265","F84055","E3 5TW",4294
"5266","F84060","E5 0QP",4906
"5267","F84062","E14 6PG",15497
"5268","F84063","E8 1PG",6078
"5269","F84069","E9 7TA",13948
"5270","F84070","E6 2DU",7481
"5271","F84072","N1 5QT",11509
"5272","F84074","E12 6SU",11375
"5273","F84077","E15 4ES",9288
"5274","F84079","E1W 2RL",11845
"5275","F84080","N16 7EA",5191
"5276","F84081","E1 5PB",14684
"5277","F84083","E2 6LL",9710
"5278","F84086","E7 0EP",7234
"5279","F84087","E1 4FG",9930
"5280","F84088","E13 0QT",5745
"5281","F84092","E13 8RU",8477
"5282","F84093","E6 5JS",18128
"5283","F84096","N1 5HZ",13696
"5284","F84097","E7 8AB",11531
"5285","F84105","E9 6AG",11839
"5286","F84111","E15 3LT",10696
"5287","F84114","E1 2LX",11077
"5288","F84115","N16 9DP",8430
"5289","F84117","E8 3XP",10157
"5290","F84118","E3 4NE",5904
"5291","F84119","N4 2NU",12352
"5292","F84121","E12 6AQ",14615
"5293","F84122","E1 4DG",16837
"5294","F84123","E2 0PJ",17336
"5295","F84124","E13 0LN",5213
"5296","F84601","E9 6QY",7358
"5297","F84619","E5 9BQ",4879
"5298","F84620","E9 5TD",7439
"5299","F84621","E8 1PG",4214
"5300","F84632","E9 7SN",1175
"5301","F84635","N1 5DR",9950
"5302","F84636","N16 8AR",6538
"5303","F84640","EC1A 7HF",10328
"5304","F84641","E7 8AR",3179
"5305","F84642","E13 0QP",12882
"5306","F84647","E14 9WU",8969
"5307","F84656","E14 9WU",9954
"5308","F84657","E13 8LS",4848
"5309","F84658","E12 5JF",10915
"5310","F84660","E7 8LZ",3007
"5311","F84666","E16 1HT",5824
"5312","F84668","E5 9BQ",6416
"5313","F84669","E13 9DA",10450
"5314","F84670","E7 8BU",4856
"5315","F84672","E7 0EP",7050
"5316","F84673","E13 8LJ",767
"5317","F84676","E3 4NE",4201
"5318","F84677","E13 0QA",6685
"5319","F84681","E13 8AF",5973
"5320","F84685","N16 7EA",2995
"5321","F84686","N16 5JF",8307
"5322","F84692","N1 5DR",7680
"5323","F84694","N16 7LR",4476
"5324","F84696","E3 5JD",6002
"5325","F84698","E14 0PU",11064
"5326","F84710","E14 3BQ",15059
"5327","F84711","N16 7EA",1937
"5328","F84714","E14 7LJ",16177
"5329","F84716","N16 5UF",5796
"5330","F84717","E6 5NA",11718
"5331","F84718","E2 6JA",14953
"5332","F84719","E9 6RT",5295
"5333","F84720","E5 9DH",5567
"5334","F84724","E7 0QH",15952
"5335","F84729","E12 5JG",4863
"5336","F84730","E15 4ES",9641
"5337","F84731","E1W 1UA",2079
"5338","F84733","E1 6PU",1067
"5339","F84735","E6 3BD",8458
"5340","F84739","E12 6SJ",5390
"5341","F84740","E12 6AQ",4116
"5342","F84741","E7 8QR",2245
"5343","F84742","E7 8QR",2587
"5344","F84747","E14 8JH",26729
"5345","F84749","E15 2JA",20304
"5346","F86001","E17 7JT",7756
"5347","F86004","E4 9PD",16019
"5348","F86005","E17 5DB",9509
"5349","F86006","E10 7LD",6846
"5350","F86007","IG7 4DF",13158
"5351","F86008","IG2 6UW",10623
"5352","F86009","IG2 7NW",7361
"5353","F86010","IG6 2HG",14480
"5354","F86011","E10 7DY",9564
"5355","F86012","IG8 9QJ",9799
"5356","F86013","IG8 0HF",7068
"5357","F86018","E17 9DP",9951
"5358","F86020","E18 2AB",5868
"5359","F86022","IG1 1EE",14215
"5360","F86023","E11 2AQ",9433
"5361","F86025","IG3 9TJ",16902
"5362","F86026","E17 4BA",7189
"5363","F86028","RM6 4AF",10536
"5364","F86030","E17 8PX",8098
"5365","F86032","E11 2SW",9337
"5366","F86034","IG3 9RN",5662
"5367","F86036","E11 1BN",14998
"5368","F86038","E10 6RA",11545
"5369","F86040","RM8 2AJ",5246
"5370","F86042","IG1 4JE",6353
"5371","F86044","E10 5EL",10192
"5372","F86045","E11 4HH",2029
"5373","F86057","IG7 4DF",6654
"5374","F86058","E17 7NH",16565
"5375","F86060","IG2 7LE",15734
"5376","F86062","E17 9BU",7250
"5377","F86064","E18 2QS",4890
"5378","F86066","E18 1BD",8193
"5379","F86074","E10 5LG",15254
"5380","F86078","E4 7JX",6907
"5381","F86081","IG2 6YG",6295
"5382","F86082","IG1 2SN",5871
"5383","F86083","IG2 6RJ",6570
"5384","F86085","IG6 2XG",3210
"5385","F86086","E17 3LA",6179
"5386","F86087","IG3 8XB",7676
"5387","F86088","E10 6JB",4920
"5388","F86607","E17 9LY",15271
"5389","F86612","IG5 0SB",3383
"5390","F86616","E4 6UN",7864
"5391","F86621","E11 1GA",6448
"5392","F86624","IG2 6YG",3151
"5393","F86625","E11 4HX",5847
"5394","F86626","E17 5JL",6873
"5395","F86627","E4 8DG",13256
"5396","F86637","IG3 8BG",5060
"5397","F86638","E4 8LT",5250
"5398","F86641","E18 1BD",7876
"5399","F86642","IG3 9QW",4754
"5400","F86644","E17 3LA",9471
"5401","F86650","E11 4JT",7886
"5402","F86652","IG1 3HZ",6912
"5403","F86657","IG1 3AF",8069
"5404","F86658","E18 2QS",5156
"5405","F86664","E4 7HS",8407
"5406","F86666","E11 3QE",14835
"5407","F86679","E17 5RQ",6199
"5408","F86689","E17 9HS",4390
"5409","F86691","IG5 0LG",10740
"5410","F86692","IG1 2SF",10586
"5411","F86696","E10 6PP",6745
"5412","F86698","IG2 6RJ",5106
"5413","F86700","E4 7NX",3897
"5414","F86701","E11 4HX",3758
"5415","F86702","IG1 4LA",4941
"5416","F86703","IG4 5BZ",3834
"5417","F86705","E11 4HX",3526
"5418","F86707","IG6 2NB",6729
"5419","F86708","E17 5RJ",2735
"5420","F86712","E11 4BB",3476
"5421","F86731","E12 5DL",4296
"5422","Y00090","IG3 8LF",8117
"5423","Y00155","RM6 4YU",9687
"5424","Y00312","RM3 9SU",4924
"5425","Y00403","E9 5NE",7544
"5426","Y00918","IG1 4JY",6654
"5427","Y01280","IG11 7RS",2226
"5428","Y01291","E4 8LF",9079
"5429","Y01719","RM10 9HU",7294
"5430","Y01795","RM10 7YU",3985
"5431","Y01839","E17 5QB",6192
"5432","Y02575","RM8 2EQ",21887
"5433","Y02928","E16 2DY",19047
"5434","Y02973","RM3 0FE",8743
"5435","Y02987","IG1 2SN",23811
"5436","Y03023","E3 3FF",15179
"5437","Y03049","N16 5SR",14695
"5438","Y04273","E20 1AS",18347
"5439","Y06592","SE6 4JH",156
"5440","M84001","CV11 5TW",14730
"5441","M84002","B80 7QU",7662
"5442","M84003","CV10 8LW",9240
"5443","M84004","CV21 3AQ",14284
"5444","M84005","CV10 0JH",4576
"5445","M84006","B78 2NR",10420
"5446","M84007","B78 1QA",12829
"5447","M84008","CV7 8FD",10002
"5448","M84009","CV47 2YG",5429
"5449","M84010","CV34 5GJ",10134
"5450","M84011","CV12 8NQ",20907
"5451","M84012","CV6 2FL",14609
"5452","M84013","CV8 1JP",12030
"5453","M84014","CV37 6HE",9287
"5454","M84015","CV31 1SA",14872
"5455","M84016","CV8 3HG",4333
"5456","M84017","CV32 5SS",13693
"5457","M84018","B50 4LX",13318
"5458","M84019","CV9 1EU",16444
"5459","M84020","CV21 3QF",14629
"5460","M84021","CV37 6PP",16515
"5461","M84022","CV11 5HX",8540
"5462","M84023","CV21 3SP",20517
"5463","M84024","B95 5GD",6628
"5464","M84025","CV36 4BQ",11793
"5465","M84026","CV47 1NY",7973
"5466","M84028","CV34 4NA",18413
"5467","M84029","CV32 7AT",7376
"5468","M84030","CV35 9RH",12599
"5469","M84031","CV23 0LU",7658
"5470","M84032","CV31 2BB",13483
"5471","M84034","CV11 4SB",2619
"5472","M84035","CV21 2DN",11480
"5473","M84036","CV8 1JD",14931
"5474","M84037","CV11 6AB",12127
"5475","M84040","CV32 4RA",10440
"5476","M84041","CV11 5QT",6047
"5477","M84042","B46 3LD",10433
"5478","M84043","CV37 6HJ",19946
"5479","M84044","CV33 9HR",5908
"5480","M84046","CV22 6AP",8114
"5481","M84047","B94 5DY",4859
"5482","M84049","B49 6QR",5612
"5483","M84050","CV21 3HX",8440
"5484","M84051","CV11 5PQ",12568
"5485","M84055","CV10 8EJ",2271
"5486","M84059","CV31 1NE",4122
"5487","M84060","B49 6QR",6553
"5488","M84061","CV12 9JB",5592
"5489","M84062","CV35 0LP",6222
"5490","M84063","CV34 6JY",6919
"5491","M84064","CV31 2LT",6435
"5492","M84065","CV21 3HX",6893
"5493","M84066","CV37 8TA",5578
"5494","M84067","CV21 2DN",7859
"5495","M84069","CV35 8SA",5364
"5496","M84070","CV34 6DZ",10394
"5497","M84609","CV12 0AJ",4469
"5498","M84612","CV9 1DB",4221
"5499","M84615","CV10 0PB",6871
"5500","M84616","CV23 9NH",4134
"5501","M84618","CV12 9JE",3611
"5502","M84620","B94 6LH",2834
"5503","M84621","CV11 5LE",2716
"5504","M84627","CV12 8LH",4100
"5505","M84629","CV47 0FG",8054
"5506","M86001","CV3 3DG",6572
"5507","M86002","CV6 6DR",8144
"5508","M86003","CV3 6EA",16524
"5509","M86004","CV5 9JE",20494
"5510","M86005","CV1 4FS",4263
"5511","M86006","CV1 3GB",9700
"5512","M86007","CV3 6GQ",6137
"5513","M86008","CV6 4DD",9843
"5514","M86009","CV6 3HZ",25128
"5515","M86010","CV4 8FT",10981
"5516","M86012","CV1 4FS",8257
"5517","M86014","CV2 5EP",20418
"5518","M86015","CV3 3AD",13626
"5519","M86016","CV2 4LJ",19114
"5520","M86017","CV3 1JB",10136
"5521","M86018","CV6 1HS",11800
"5522","M86019","CV4 9DR",4527
"5523","M86020","CV2 1XA",8400
"5524","M86021","CV6 2FL",6899
"5525","M86027","CV3 5PZ",11169
"5526","M86028","CV6 5DF",3476
"5527","M86029","CV1 3HQ",20413
"5528","M86030","CV5 6HY",6774
"5529","M86032","CV6 4HN",12646
"5530","M86033","CV3 3DP",4151
"5531","M86034","CV4 9PL",10626
"5532","M86035","CV2 1AB",7886
"5533","M86037","CV3 5PZ",3886
"5534","M86038","CV3 2FD",2886
"5535","M86039","CV5 9BD",4539
"5536","M86040","CV2 2SW",4695
"5537","M86041","CV2 4LJ",8706
"5538","M86044","CV1 2DL",4010
"5539","M86045","CV6 5BG",7352
"5540","M86046","CV2 5NB",5313
"5541","M86048","CV6 6DR",7709
"5542","M86605","CV4 9PN",2902
"5543","M86610","CV1 2DL",2338
"5544","M86612","CV1 4JH",3136
"5545","M86617","CV1 4FS",2913
"5546","M86622","CV5 6EU",2984
"5547","M86624","CV6 3FA",9613
"5548","M86627","CV3 1EG",6261
"5549","M86633","CV6 5LL",5183
"5550","M86638","CV2 2RH",6053
"5551","Y00060","CV1 5FX",642
"5552","Y00140","CV2 3NF",2154
"5553","Y00996","CV1 4FS",3991
"5554","Y04882","CV11 4UZ",2870
"5555","Y04884","B46 1TH",3353
"5556","Y04965","CV6 5AR",19051
"5557","Y04969","CV10 9EB",4641
"5558","Y06218","CV21 1JF",8310
"5559","M85002","B20 2ES",20022
"5560","M85009","B20 2QR",6198
"5561","M85019","B42 1BT",17425
"5562","M85020","B19 2ET",19773
"5563","M85069","B6 6BB",16621
"5564","M85082","B21 9NH",4082
"5565","M85098","B16 0LU",5128
"5566","M85124","B5 7LX",10738
"5567","M85145","B20 2NR",7896
"5568","M85164","B12 8QE",12689
"5569","M85176","B21 9RY",5000
"5570","M85178","B19 1BP",10189
"5571","M85634","B19 1HL",8138
"5572","M85676","B6 5HP",5347
"5573","M85684","B16 0HH",2751
"5574","M85697","B6 5UP",4484
"5575","M85715","B21 9RY",10818
"5576","M85721","B21 0HL",10016
"5577","M85757","B21 9RY",3713
"5578","M85778","B2 4UH",11255
"5579","M85797","B1 3AL",9045
"5580","M87001","B63 1AB",6916
"5581","M87003","DY6 9HS",19822
"5582","M87005","DY8 4JB",10998
"5583","M87006","DY1 2QD",8255
"5584","M87007","DY3 3UH",11380
"5585","M87008","DY6 8DN",8059
"5586","M87009","DY5 3EE",17120
"5587","M87010","DY5 1RU",8293
"5588","M87011","DY8 3SS",30356
"5589","M87012","DY1 3QZ",7408
"5590","M87013","DY4 7QU",11384
"5591","M87014","B62 0HP",7493
"5592","M87015","DY3 2NQ",8583
