"","Postcode_District","Count_GP_Surgeries","Total_Registered_Patients","Total_Registered_Practitioners","Count"
"1547","SS8",6,41872,35,38327
"1548","SS9",6,60210,82,50726
"1549","ST1",6,61004,76,32502
"1550","ST10",6,29343,50,25156
"1551","ST11",1,4734,8,9801
"1552","ST13",3,29378,42,27818
"1553","ST14",3,22420,27,21723
"1554","ST15",2,24834,34,22922
"1555","ST16",4,41551,48,33574
"1556","ST17",3,39750,49,38529
"1557","ST18",1,8024,8,18144
"1558","ST19",2,20958,34,15508
"1559","ST2",3,17214,22,35460
"1560","ST20",1,8320,9,7034
"1561","ST21",1,8388,10,6502
"1562","ST3",10,72652,96,68507
"1563","ST4",7,48345,73,57886
"1564","ST5",11,86620,123,82287
"1565","ST6",10,87801,112,67283
"1566","ST7",7,52319,74,55169
"1567","ST8",2,20717,33,19964
"1568","ST9",2,13668,18,12021
"1569","SW10",3,32546,41,17025
"1570","SW11",11,100775,193,81336
"1571","SW12",5,37911,49,32166
"1572","SW13",2,22571,31,15777
"1573","SW14",2,29390,44,17471
"1574","SW15",8,81338,128,63972
"1575","SW16",13,108406,168,85971
"1576","SW17",5,80364,130,64524
"1577","SW18",6,72293,112,65843
"1578","SW19",11,107336,143,80552
"1579","SW1P",3,10903,23,13042
"1580","SW1V",2,32407,33,21568
"1581","SW1W",4,22310,22,6889
"1582","SW1X",1,17453,11,4855
"1583","SW2",3,41820,45,55538
"1584","SW20",3,57093,95,30514
"1585","SW3",2,6476,15,19002
"1586","SW4",7,87321,144,41176
"1587","SW5",4,23294,25,13955
"1588","SW6",10,190335,162,65848
"1589","SW7",5,48242,59,15132
"1590","SW8",4,34381,65,38648
"1591","SW9",7,63732,103,48006
"1592","SY1",3,35988,44,28665
"1593","SY10",1,3789,8,15672
"1594","SY11",3,36151,43,27852
"1595","SY12",1,20769,23,8618
"1596","SY14",1,7572,11,7046
"1597","SY2",2,15789,27,18727
"1598","SY3",6,42626,64,34769
"1599","SY4",4,28484,47,26534
"1600","SY5",2,13154,20,22946
"1601","SY6",1,7349,15,6908
"1602","SY7",2,7076,17,10924
"1603","SY8",2,16421,27,18626
"1604","SY9",1,5532,10,2821
"1605","TA1",5,68168,102,42119
"1606","TA10",1,13642,13,10083
"1607","TA11",1,7523,14,10143
"1608","TA12",1,10747,18,6188
"1609","TA14",1,5830,10,3182
"1610","TA18",1,12847,23,10706
"1611","TA19",3,14795,30,12309
"1612","TA2",2,16556,32,31807
"1613","TA20",3,21435,29,21578
"1614","TA21",2,22137,32,21214
"1615","TA22",1,3981,12,2633
"1616","TA24",2,19811,24,18616
"1617","TA3",2,8856,17,15278
"1618","TA4",3,22935,42,19758
"1619","TA5",2,9098,14,12305
"1620","TA6",6,63938,103,52695
"1621","TA7",1,10183,14,15887
"1622","TA8",1,15943,15,16773
"1623","TA9",2,15425,28,13524
"1624","TD15",2,16180,35,16669
"1625","TF1",1,14894,12,42708
"1626","TF10",2,29602,36,20754
"1627","TF11",1,11742,11,12608
"1628","TF12",1,4652,5,5760
"1629","TF13",1,8297,15,3827
"1630","TF2",2,30387,43,40757
"1631","TF3",3,80490,64,26939
"1632","TF4",1,10123,12,23012
"1633","TF5",1,13621,23,5078
"1634","TF7",2,13407,21,19067
"1635","TF8",1,5092,7,3012
"1636","TF9",3,25806,36,26972
"1637","TN1",2,22370,32,11720
"1638","TN11",2,20079,32,14831
"1639","TN12",4,31292,53,31362
"1640","TN13",4,36627,55,25568
"1641","TN14",1,11350,17,16639
"1642","TN15",1,15033,16,25728
"1643","TN16",3,21688,39,19684
"1644","TN17",4,13512,24,14304
"1645","TN18",1,9716,11,6649
"1646","TN19",1,4193,16,5207
"1647","TN2",3,26599,43,29750
"1648","TN20",1,3547,14,3760
"1649","TN21",1,12481,30,16969
"1650","TN22",3,31594,45,27566
"1651","TN23",1,11967,16,45021
"1652","TN24",4,75950,85,34682
"1653","TN25",2,14346,29,19285
"1654","TN26",2,11877,17,12395
